ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3.363362,133,0.035004,0.059020,0.008723,-0.005192,-0.015261,0.005455
3.385836,134,0.031262,0.024220,-0.004144,-0.010241,-0.015094,-0.005685
3.407929,135,0.143818,-0.068065,0.003495,-0.007457,-0.010833,-0.007983
3.429975,136,0.053345,0.069353,-0.055257,-0.005327,0.000641,-0.005551
3.452504,137,-0.022569,-0.011009,0.083680,-0.007047,0.006287,-0.003998
3.474540,138,-0.045434,-0.064822,-0.018260,-0.004673,0.006454,-0.009157
3.496757,139,-0.018869,-0.020152,-0.000838,0.000652,0.006210,-0.009482
3.519097,140,-0.076107,-0.013173,0.035353,0.005214,0.003668,0.000952
3.541223,141,-0.040987,0.047521,-0.000404,0.003981,0.001782,0.002839
3.563321,142,-0.012624,0.031318,-0.029692,-0.002000,-0.001658,0.001607
3.586342,143,-0.007120,-0.072399,0.019617,-0.001833,-0.001415,0.008248
3.607787,144,-0.044476,0.025109,0.004872,0.005045,-0.003378,0.009474
3.629939,145,-0.068598,0.085671,0.039164,0.006328,-0.009527,0.011395
3.652382,146,-0.016312,-0.092931,0.002157,0.002015,-0.016330,0.001884
3.674735,147,0.039224,-0.034334,-0.032971,0.005466,-0.024192,-0.021928
3.696752,148,0.158541,0.171524,-0.050393,0.008876,-0.019358,-0.009347
3.719079,149,0.093686,-0.050811,-0.040460,-0.001297,-0.003380,0.008576
3.741392,150,0.143860,-0.074127,-0.048146,-0.007792,0.008338,-0.001867
3.763395,151,0.315491,-0.074202,-0.053773,-0.004157,0.023251,-0.019347
3.786711,152,0.373919,0.142438,-0.050579,-0.003058,0.047341,-0.027545
3.807998,153,0.706111,0.006767,-0.131714,-0.009584,0.088509,-0.036733
3.830009,154,0.849000,-0.139815,-0.179050,-0.007343,0.155899,-0.054032
3.852449,155,1.464493,-0.173455,-0.472626,-0.000448,0.272290,-0.075250
3.875167,156,1.342581,-0.205538,-0.419703,0.013754,0.445007,-0.086447
3.896756,157,0.784875,-0.269832,-0.267333,0.032504,0.607969,-0.108095
3.919474,158,0.399376,-0.257829,-0.135760,0.051933,0.735013,-0.139880
3.941356,159,0.092877,-0.278605,-0.115516,0.070708,0.818625,-0.167229
3.963424,160,-0.170284,0.272574,0.024825,0.083989,0.866395,-0.197913
3.985906,161,-0.303304,0.501000,0.160816,0.064137,0.881175,-0.225009
4.008082,162,-0.313329,0.111397,0.177003,0.031280,0.865607,-0.234464
4.074738,163,-0.050723,0.001334,0.011027,0.020871,0.850937,-0.227777
4.097040,164,0.287200,-0.874121,-0.310241,0.068537,0.794367,-0.133110
4.119288,165,-0.240494,-0.157613,0.100933,0.105469,0.790316,-0.140237
4.142303,166,-0.140775,-0.038528,0.213612,0.137126,0.762375,-0.143555
4.163564,167,-0.130582,0.038523,0.177865,0.149809,0.730140,-0.165589
4.185902,168,0.048549,0.402351,0.201009,0.146589,0.701377,-0.189728
4.208544,169,-0.051625,-0.220982,0.143139,0.135148,0.678242,-0.196942
4.230189,170,-0.349977,-0.710560,0.107650,0.152417,0.653573,-0.213976
4.252550,171,-0.432256,-1.147085,-0.288714,0.209031,0.628961,-0.258618
4.275645,172,-0.077556,-1.457042,-0.625875,0.313124,0.647371,-0.307205
4.297102,173,-0.075002,-2.181206,-0.960494,0.473700,0.712895,-0.359132
4.319322,174,-0.243161,0.106458,0.212103,0.620045,0.778286,-0.338014
4.341740,175,0.039550,5.350575,1.692315,0.576121,0.778229,-0.036912
4.363270,176,-0.849623,1.777589,1.555807,0.400230,0.692296,0.229190
4.385628,177,-0.577617,-1.916531,0.068341,0.305131,0.550337,0.216421
4.407920,178,-0.097582,-2.214652,-0.693329,0.358345,0.471941,0.041283
4.430087,179,-0.492801,0.484911,0.758920,0.405436,0.403485,-0.056336
4.452477,180,-0.625447,3.171981,1.714120,0.325112,0.277916,0.040248
4.476050,181,-0.918281,0.031470,0.752776,0.198862,0.094657,0.135895
4.496969,182,-0.781763,-1.336047,-0.318100,0.181606,-0.049433,0.121110
4.519368,183,-0.243066,-0.689934,-0.446763,0.227943,-0.135044,0.091937
4.541867,184,-0.544158,0.312570,0.176827,0.258291,-0.195464,0.087749
4.563493,185,-0.402322,0.969116,0.452094,0.231531,-0.263886,0.115774
4.586117,186,-0.150286,1.192066,0.369558,0.155636,-0.332399,0.175447
4.608213,187,-0.308386,-0.269020,-0.267836,0.087690,-0.385983,0.194285
4.630381,188,-0.364533,-0.844955,-0.487806,0.069180,-0.417809,0.159861
4.652711,189,-0.153706,-0.276390,-0.496825,0.089987,-0.436741,0.107136
4.675080,190,0.040038,0.704798,-0.238249,0.096078,-0.434855,0.099187
